itemset,support
frozenset({'apples'}),0.1484
frozenset({'bananas'}),0.1552
frozenset({'beef'}),0.144
frozenset({'bread'}),0.1574
frozenset({'butter'}),0.145
frozenset({'carrots'}),0.1466
frozenset({'cereal'}),0.1478
frozenset({'cheese'}),0.146
frozenset({'chicken'}),0.1486
frozenset({'coffee'}),0.1524
frozenset({'eggs'}),0.1482
frozenset({'fish'}),0.1556
frozenset({'flour'}),0.1522
frozenset({'grapes'}),0.1476
frozenset({'juice'}),0.144
frozenset({'milk'}),0.152
frozenset({'oil'}),0.1472
frozenset({'onions'}),0.1504
frozenset({'oranges'}),0.1474
frozenset({'pasta'}),0.1446
frozenset({'potatoes'}),0.1472
frozenset({'rice'}),0.1468
frozenset({'salt'}),0.1572
frozenset({'shampoo'}),0.1546
frozenset({'soap'}),0.1576
frozenset({'sugar'}),0.1452
frozenset({'tea'}),0.15
frozenset({'tomatoes'}),0.1534
frozenset({'toothpaste'}),0.156
frozenset({'yogurt'}),0.1418
